user_id,first_name,last_name,email,country,signup_date
6660579b-1c91-4011-b3b4-67c21ed32a56,Riley,Smith,user_0@example.com,Spain,2024-01-26
ba139bc2-628f-4bda-9c80-8a6084427447,Casey,Smith,user_1@example.com,Spain,2023-05-30
13276a39-1e4b-4d43-ac2f-260ba07f0487,Taylor,Garcia,user_2@example.com,US,2023-03-05
e9cccfa8-5709-43c5-b7b5-737c29c97e56,Jordan,Muller,user_3@example.com,Spain,2023-08-22
92d84234-618f-4f95-88b9-28a0f99ea2eb,Riley,Jones,user_5@example.com,Spain,2023-02-15
1d967759-945a-407e-b13b-30b360b519a1,Riley,Brown,user_6@example.com,France,2023-05-07
ccfc82c2-e8c9-494c-90c5-8da1962007c3,Taylor,Dupont,user_7@example.com,France,2023-10-06
12b1da35-0dcd-454b-8af7-aea66e2f0319,Jordan,Garcia,user_8@example.com,Canada,2023-11-29
4a5d8389-ae36-4fd2-bf52-7c7931312489,Riley,Dupont,user_9@example.com,Canada,2023-07-07
aa4278a9-f7ba-4de7-9c84-ca40a0b02236,Morgan,Jones,user_10@example.com,Germany,2023-01-08
4f8e1dc3-acb2-4a6a-b615-630c9ff442de,Riley,Brown,user_11@example.com,UK,2023-07-04
e3d257a5-e0c5-4ff5-b3b5-44047d7b1ecf,Morgan,Brown,user_12@example.com,USA,2023-12-17
3a54fe98-1ef2-4d42-900b-8c8ab0b6a8f8,Casey,Muller,user_13@example.com,Germany,2023-03-09
431daf74-1d31-4c2b-a9ea-075d66e74118,Riley,Muller,user_14@example.com,France,2023-03-04
6c7f7b98-83c6-44b5-bb92-c9da27530e7b,Taylor,Garcia,user_15@example.com,Spain,2024-01-10
7f87ae02-8158-4842-a7f7-30506b0a4e37,Taylor,Garcia,user_16@example.com,Germany,2023-03-11
584e034e-c4f6-4500-9fd8-940ecf393398,Taylor,Jones,user_17@example.com,France,2023-04-01
ce207913-ed69-48a7-8663-3edce9ec75a5,Taylor,Garcia,user_18@example.com,Germany,2023-04-21
701a272b-afd0-40fd-bb7f-7eaba9f76e47,Morgan,Smith,user_19@example.com,USA,2023-04-23
7f509f28-3551-433e-a546-44ba4164ab80,Jordan,Dupont,user_20@example.com,Spain,2023-06-13
a69c0486-b558-49da-b081-20a46a40c1e7,Alex,Garcia,user_21@example.com,USA,2023-11-10
200fcebe-8ce4-45f5-b2b2-fdada956e33f,Taylor,Brown,user_22@example.com,USA,2023-10-21
b229f2fd-87ca-4250-9a17-7c0f0e0c3c95,Casey,Dupont,user_23@example.com,Spain,2023-10-05
4b4170f6-30ed-412a-af5a-f3f92e99539e,Jordan,Smith,user_24@example.com,Canada,2023-09-30
af695c7c-40ea-40fb-b657-bea8ec9fe272,Riley,Jones,user_25@example.com,USA,2024-02-04
d170172c-19b4-4c3c-8526-164c72717443,Riley,Smith,user_26@example.com,UK,2023-12-13
8475c3da-1453-4a35-a834-0c9bb9919bbf,Morgan,Jones,user_27@example.com,UK,2023-11-04
a8b84890-083a-420e-9ace-ecaa21c9e8e7,Riley,Dupont,user_28@example.com,Canada,2023-03-08
55b2d956-5d0f-418f-8d44-88887d6d37fe,Alex,Muller,user_29@example.com,Canada,2023-12-27
e8fe8dd4-9794-4036-ae0e-7aa9d7ace04e,Morgan,Jones,user_30@example.com,Germany,2023-12-05
00782a2d-b435-455a-8575-54ec5d3dc9ee,Casey,Jones,user_31@example.com,USA,2023-12-24
702f05f0-fd51-492a-ba28-1790a5d05f0e,Jordan,Dupont,user_32@example.com,USA,2023-09-13
5ce3d376-b826-4097-bee0-dd20498416cd,Alex,Smith,user_33@example.com,Canada,2023-06-22
6e4c41d5-1569-44ad-82ad-7b4586bcef65,Alex,Dupont,user_34@example.com,Spain,2023-01-25
4c17ac7a-1853-4877-847a-20aeeda0ca90,Casey,Jones,user_35@example.com,France,2023-05-01
b759b3ec-b9ad-4b05-a726-8e7aba8808b1,Jordan,Smith,user_36@example.com,UK,2023-01-10
c97a0db4-6b02-4a7c-80d8-c1701b2c4f62,Alex,Garcia,user_37@example.com,Spain,2023-04-18
b8df7994-b068-4e33-b12f-bad9caa42fe0,Riley,Smith,user_38@example.com,USA,2023-11-11
226d50fe-7081-4a18-9793-29b2b33911d6,Alex,Muller,user_39@example.com,Spain,2023-01-13
06f9c564-cd6c-41d8-b05c-f43f9c456895,Riley,Brown,user_40@example.com,Canada,2023-09-07
89738787-c62d-4b3f-8abf-04a63444239c,Jordan,Smith,user_41@example.com,Canada,2023-11-21
da534d57-cd66-44fe-9daf-987387480a22,Jordan,Jones,user_42@example.com,USA,2023-01-04
9128b8d4-5708-46a5-a498-82a1f224c63b,Morgan,Garcia,user_43@example.com,Canada,2023-01-03
